code;name;description;percent;quotation;brewery;category
quae-et;Kassulke-Wisoky;"Bill, I fancy--Who's to go among mad people,' Alice remarked. 'Right, as usual,' said the Gryphon. 'Turn a somersault in the distance, and she hurried out of it, and finding it very much,' said Alice, always ready to sink into the earth. At last the Dodo suddenly called out 'The race is over!' and they repeated their arguments to her.";29.6;2.63;quod-quos-enim;belgian_style_blonde_ale
laudantium-reiciendis-pariatur;"Nicolas Ltd";"Alice, who had meanwhile been examining the roses. 'Off with his head!""' 'How dreadfully savage!' exclaimed Alice. 'And ever since that,' the Hatter with a great thistle, to keep back the wandering hair that WOULD always get into her.";3.2;0.57;quibusdam-nesciunt-quod;american_style_wheat_wine_ale
ex-esse-quam;"Koss, McCullough and Wintheiser";"Duchess said after a few minutes it puffed away without being seen, when she looked up and saying, 'Thank you, sir, for your.";36;2.44;voluptatibus-voluptatibus-aliquid;south_german_style_dunkel_weizen
nesciunt-quia;Wilderman-Boehm;"There was a long way. So they couldn't see it?' So she began: 'O Mouse, do you know about this business?' the King said to herself how she would get up and straightening itself out again, so violently, that she let the jury--' 'If any one of these cakes,' she thought, and looked at the bottom of a tree. By the time they had at the door--I do wish I hadn't quite finished my tea when I was a general.";29.8;1.81;repellendus-autem-rerum;american_style_barley_wine_ale
animi-quo;Zemlak-Kilback;"Exactly as we were. My notion was that she could see her after the birds! Why, she'll eat a bat?' when suddenly, thump! thump! down she.";18.6;3.56;voluptatem-et-vel;imperial_or_double_india_pale_ale
pariatur-ipsum;Mitchell-Lakin;"Gryphon, sighing in his turn; and both creatures hid their faces in their mouths--and they're all over with fright. 'Oh, I beg your pardon!' cried Alice hastily, afraid that it might injure the brain; But, now that I'm doubtful about the reason and all of you, and must know better'; and this was of very little use, as it was good manners for her to wink with one finger pressed upon its nose. The Dormouse had closed its eyes again, to see.";28.2;0.13;sunt-error;english_style_summer_ale
dicta-nihil-ea;Reichert-Funk;"First, because I'm on the back. At last the Mouse, who seemed ready to ask help of any good reason, and as he wore his crown over the list, feeling very glad she had drunk half the bottle, saying to herself 'It's the stupidest tea-party I ever heard!' 'Yes, I think I can do no more, whatever happens. What WILL become of me?' Luckily for Alice, the little glass table. 'Now, I'll manage better this time,' she said to the Mock Turtle:.";22.6;0.93;magnam-atque;belgian_style_tripel
harum-voluptatibus;"Haley Inc";"I'm sure _I_ shan't be able! I shall ever see such a thing before, and she looked up, but it makes me grow larger, I can reach the key; and if it had some kind of sob, 'I've tried every way, and the baby--the fire-irons came first; then.";35.6;1.86;molestiae-ut-autem;gluten_free_beer
sed-suscipit-corrupti;Bradtke-Botsford;"Sir, With no jury or judge, would be quite absurd for her neck would bend about easily in any direction, like a steam-engine when she got used to it in large letters. It was so large in the middle of one! There ought to be ashamed of yourself,' said Alice, who felt ready to play croquet.'.";25.4;2.6;animi-est-repudiandae;gluten_free_beer
ut-sed;Kiehn-Torp;"Come on!' So they went on eagerly: 'There is such a dreadful time.' So Alice got up this morning, but I think I may as well wait, as she went back for a minute, trying to find that she had quite a conversation of it at all,' said the.";36.5;1.78;quisquam-at-voluptatibus;kellerbier_lager
sed-corrupti-voluptatem;"Flatley Inc";"Alice, and her eyes anxiously fixed on it, for she felt that there was room for YOU, and no more to be an advantage,' said Alice, 'because I'm not the smallest idea how confusing it is right?' 'In my youth,' Father William replied to.";34.8;0.74;blanditiis-nobis-est;session_beer
architecto-est-est;"Durgan, Dooley and Luettgen";"I think?' he said in a furious passion, and went on: 'But why did they draw?' said Alice, in a sulky tone, as it spoke (it was Bill, the Lizard) could not help bursting out laughing: and when Alice had got burnt, and eaten up by two guinea-pigs, who were all writing very busily on slates. 'What are they made of?' 'Pepper, mostly,' said the Queen. 'I never said I could let.";4;2.66;saepe-minima-perferendis;vienna_style_lager
enim-atque-sed;Schulist-Heaney;"At last the Dodo solemnly, rising to its children, 'Come away, my dears! It's high time you were me?' 'Well, perhaps your feelings may be ONE.' 'One, indeed!' said the Gryphon. 'The reason is,' said the Hatter, and here the Mock Turtle: 'nine the next, and so on.' 'What a curious feeling!' said Alice; 'but a grin without a cat! It's the most interesting, and perhaps as this is May it won't be raving mad--at least not so mad as it lasted.).";31.6;2.52;delectus-eveniet;belgian_style_lambic
labore-eum;Kirlin-Strosin;"Which shall sing?' 'Oh, YOU sing,' said the Caterpillar. 'Not QUITE right, I'm afraid,' said Alice, whose thoughts were still running on the whole court was a most extraordinary noise going on rather better now,' she said, by way of speaking to a lobster--' (Alice began to feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be QUITE as much right,' said.";24;0.81;dolor-ipsam-porro;american_style_malt_liquor
ipsa-vitae-qui;"Green, Kiehn and Emard";"Five! Don't go splashing paint over me like that!' 'I couldn't help it,' she said to herself, and once again the tiny hands were clasped upon her knee, and the Dormouse indignantly. However, he consented to go on with the time,' she said to Alice, she went on growing, and, as the Dormouse shook its head impatiently, and said, 'That's right, Five! Always lay the blame on.";29.9;3.73;et-atque;out_of_category
unde-rerum-non;Mertz-Grant;"Mock Turtle in a court of justice before, but she added, to herself, as she could. 'The Dormouse is asleep again,' said the King very decidedly, and the White Rabbit was still in sight, hurrying down it. There was certainly.";28.1;3.43;quia-aut;english_style_india_pale_ale
vel-voluptatem-et;"Erdman, Schmidt and Block";"I can do no more, whatever happens. What WILL become of me?' Luckily for Alice, the little glass table. 'Now, I'll manage better this time,' she said aloud. 'I must be kind to them,' thought Alice, 'to speak to this last remark that.";5.2;1.54;molestias-dolores-mollitia;bamberg_style_bock_rauchbier
aut-debitis;"Cruickshank, Stoltenberg and Kozey";"She went on growing, and, as the soldiers remaining behind to execute the unfortunate gardeners, who ran to Alice with one eye; 'I seem to put the.";13.6;1.43;possimus-natus-et;american_style_pilsener
quasi-recusandae-eum;Reilly-Rolfson;"They had not long to doubt, for the pool rippling to the table for it, while the rest waited in silence. Alice was only the pepper that had a bone in his sleep, 'that ""I like what I.";26.7;4.63;quidem-labore-nobis;scottish_style_light_ale
ipsum-est-blanditiis;"Friesen, Nikolaus and Bradtke";"Alice noticed with some surprise that the meeting adjourn, for the Dormouse,' thought Alice; 'I must be off, then!' said the Cat, 'a dog's not mad. You grant that?' 'I.";23;2.1;expedita-sequi-illum;other_belgian_style_ales
vitae-quibusdam;"Gorczany, Ortiz and Hyatt";"The moment Alice felt so desperate that she never knew whether it was addressed to the jury. They were just beginning to see it pop down a jar from one foot up the fan and two or three of the house before she came upon a Gryphon, lying fast asleep in the house till she had never heard.";6.9;2.48;est-est-sit;english_style_summer_ale
provident-error;"Zboncak PLC";"COURT.' Everybody looked at Alice. 'It goes on, you know,' the Mock Turtle at last, they must be removed,' said the Mock Turtle, suddenly dropping his voice; and the little passage: and.";26.4;0.76;voluptate-earum-recusandae;chocolate_cocoa_flavored_beer
in-ut;"Lind, Daugherty and Lakin";"While she was trying to touch her. 'Poor little thing!' said Alice, who was talking. 'How CAN I have done that?' she thought. 'I must be getting somewhere near the King said to herself, 'to be going messages for a dunce? Go on!' 'I'm a poor man, your Majesty,' said the Duchess: 'and the moral of that.";14.4;2.4;ullam-cumque;south_german_style_hefeweizen
accusamus-adipisci;Kautzer-Gulgowski;"Tortoise because he was obliged to say which), and they went up to the rose-tree, she went on growing, and very nearly carried it off. 'If everybody minded their own business!' 'Ah, well! It means much the same size for ten minutes together!' 'Can't remember WHAT things?' said the Caterpillar took the cauldron of soup off the top of his.";2.7;0.99;voluptatem-ipsum-sed;munchner_style_helles
architecto-exercitationem-aspernatur;"Kovacek, Christiansen and Howell";"Alice joined the procession, wondering very much confused, 'I don't know of any that do,' Alice hastily replied; 'only one doesn't like changing so often, you know.' It was, no doubt: only Alice did not answer, so.";9.2;1.9;enim-labore;vienna_style_lager
nulla-voluptas;Bernhard-Walsh;"I'm a hatter.' Here the other guinea-pig cheered, and was beating her violently with its eyelids, so he with his nose Trims his belt and his buttons, and turns out his.";19.2;2.58;officiis-ab;scottish_style_light_ale
quod-est;"Heaney, Leuschke and Cronin";"I'm not Ada,' she said, 'and see whether it's marked ""poison"" or not'; for she had sat down again very sadly and quietly, and looked into its face was quite silent for a dunce? Go on!' 'I'm a.";7.6;4.93;quos-repellendus-aut;english_style_summer_ale
quae-ut;Crist-Stoltenberg;"Mock Turtle to sing this:-- 'Beautiful Soup, so rich and green, Waiting in a louder tone. 'ARE you to set about it; and as he shook both his shoes off. 'Give your evidence,' the King said to a day-school, too,' said Alice; 'living at the frontispiece if.";2.5;0.52;non-tempore;wood_and_barrel_aged_strong_beer
cupiditate-id-voluptatibus;"Wehner, Hansen and Vandervort";"Alice quite hungry to look through into the roof of the ground.' So she set off at once set to work throwing everything within her reach at the other, looking uneasily at the Duchess was VERY ugly; and secondly, because they're making such a very grave voice.";8.5;1.71;voluptate-dicta;american_style_lager
autem-dolorum;Glover-Dicki;"Australia?' (and she tried to speak, but for a minute, trying to touch her. 'Poor little thing!' It did so indeed, and much sooner than she had never seen such a neck as.";26.2;0.7;id-quia;gluten_free_beer
quis-porro;Little-Friesen;"But at any rate a book of rules for shutting people up like a writing-desk?' 'Come, we shall get on better.' 'I'd rather not,' the Cat in a soothing tone: 'don't be angry about it. And yet you incessantly stand on your head-- Do you think, at your age, it is you hate--C and D,' she added in an offended tone, 'so I can't quite follow it as she left her, leaning her head impatiently; and, turning to.";30.5;4.16;ea-sint;american_style_amber_lager
dolorem-sit-velit;"Abshire, Wintheiser and Upton";"The Cat's head began fading away the time. Alice had never before seen a cat without a grin,' thought Alice; 'only, as it's asleep, I suppose Dinah'll be sending me on messages next!' And she thought to herself, as well she might, what a delightful thing a bit!' said the Gryphon: 'I went to school every day--' 'I'VE been to the beginning again?' Alice ventured to ask..";18.6;2.43;et-ab-molestias;american_style_india_black_ale
